Title,Description
Diagnosis Body Dysmorphic Disorder,"Proses diagnosis BDD melibatkan serangkaian evaluasi oleh psikolog maupun psikiater. Berikut langkah-langkahnya:
1. Wawancara Klinis
Pertama, dokter akan melakukan wawancara klinis dengan orang yang diduga mengidap BDD.
Selama proses ini, dokter akan meminta pasien untuk membicarakan perasaan, pikiran, dan perilakunya serta persepsi mereka tentang penampilan fisik.
2. Kriteria diagnostik
Selanjutnya, dokter akan mengacu pada Kriteria Diagnostik yang tercantum dalam Manual Diagnostik dan Statistik Gangguan Jiwa (DSM-5).
Apabila pasien memenuhi kriteria tersebut, maka ia ditetapkan mengalami BDD.
3. Memeriksa riwayat kesehatan
Dokter juga perlu mengumpulkan informasi tentang riwayat kesehatan mental dan medis pasien.
Mereka juga perlu mencari tahu apakah ada gangguan lain yang mungkin terkait atau berkontribusi pada gejala BDD.
4. Pemeriksaan fisik
Dokter juga bisa melakukan pemeriksaan fisik untuk mengesampikan kemungkinan penyakit lain yang gejalanya serupa dengan BDD.
5. Berkolaborasi dengan tim kesehatan lainnya
Diagnosis BDD sering melibatkan kerja sama antara profesional kesehatan mental, seperti dokter umum atau spesialis lain jika diperlukan.
Tujuannya untuk memastikan bahwa semua aspek kesehatan individu diperhitungkan secara matang."
Pengobatan Body Dysmorphic Disorder,"Adapun perawatan untuk gangguan kesehatan ini sering kali mencakup kombinasi terapi perilaku kognitif dan obat-obatan.
1. Terapi perilaku kognitif
Terapi perilaku kognitif berfokus pada:
Membantu pengidap mempelajari bagaimana pikiran negatif, reaksi emosional, dan perilaku mempertahankan masalah dari waktu ke waktu.
Menantang pikiran negatif otomatis tentang citra tubuh pasien dan mempelajari cara berpikir yang lebih fleksibel.
Mempelajari cara-cara alternatif untuk menangani dorongan atau ritual untuk membantu mengurangi pemeriksaan cermin atau pencarian kepastian.
Mengajari pengidap perilaku lain untuk meningkatkan kesehatan mental, seperti mengatasi penghindaran sosial.
Pengidap dan terapis dapat berbicara tentang tujuan terapi dan mengembangkan rencana perawatan untuk mempelajari dan memperkuat keterampilan mekanisme koping.
Ini melibatkan anggota keluarga dalam pengobatan sangat penting, terutama bagi remaja.
Baca artikel 5 Manfaat Terapi Kognitif bagi Pengidap Gangguan Kesehatan Mental untuk mengetahui apa saja manfaat melakukan terapi ini untuk menyembuhkan masalah kesehatan mental. 
2. Obat-Obatan
Meskipun tidak ada obat yang secara khusus mendapatkan persetujuan dari U.S. Food and Drug Administration (FDA) untuk mengobati masalah ini, pilihan obat untuk mengatasi kondisi kesehatan mental lain, seperti depresi dan gangguan obsesif-kompulsif mungkin cukup efektif.
Berikut beberapa jenis obatnya:
Inhibitor Reuptake Serotonin Selektif (SSRI). Masalah ini sebagian muncul karena masalah yang berkaitan dengan serotonin kimia otak, dokter mungkin akan meresepkan obat golongan SSRI. Obat golongan ini tampaknya lebih efektif untuk mengatasi kelainan tubuh tersebut daripada antidepresan lain serta dapat membantu mengendalikan pikiran negatif dan perilaku berulang.
Obat lain. Dalam beberapa kasus, pengidap mendapat manfaat dari minum obat lain selain SSRI, tergantung pada gejala yang terjadi.
3. Rawat Inap di Rumah Sakit
Dalam beberapa kasus, gejala Body Dysmorphic Disorder sangat parah sehingga pengidap memerlukan rawat inap psikiatri.
Dokter umumnya menyarankan hal ini jika pengidap tidak dapat memenuhi tanggung jawab sehari-hari atau berada dalam bahaya langsung untuk melukai diri sendiri.
4. Perubahan Gaya Hidup
Body Dysmorphic Disorder memerlukan perawatan dari profesional kesehatan mental. Namun, pengidap dapat melakukan beberapa hal untuk rencana perawatan, seperti:
Tetap ikuti rencana perawatan. Jangan melewatkan sesi terapi. Bahkan jika kamu sudah merasa sehat, teruslah minum obat. Jika berhenti, gejalanya bisa kembali.
Pelajari tentang gangguan yang muncul. Edukasi yang berhubungan dengan gangguan ini dapat memberdayakan dan memotivasi pengidap untuk tetap berpegang pada rencana perawatan.
Perhatikan tanda bahaya. Bekerjasamalah dengan dokter atau terapis untuk mempelajari apa yang memicu gejala. Buatlah rencana sehingga tahu apa yang harus kamu lakukan jika gejala kembali. Hubungi dokter atau terapis jika melihat adanya perubahan gejala atau perasaan.
Hindari narkoba dan alkohol. Sebab, alkohol dan obat-obatan rekreasional dapat memperburuk gejala atau berinteraksi dengan obat-obatan.
Tetap aktif. Aktivitas fisik dan olahraga dapat membantu mengelola banyak gejala, seperti depresi, stres, dan kecemasan. Misalnya, jalan kaki, jogging, berenang, berkebun, atau melakukan aktivitas fisik lain. Namun, hindari olahraga berlebihan sebagai cara untuk memperbaiki kekurangan yang muncul.
"
Definisi Gangguan Jiwa ,"Gangguan kesehatan jiwa adalah sindrom atau sekelompok gejala yang memengaruhi pikiran, perasaan, dan perilaku seseorang sehingga menyebabkan disfungsi dalam menjalankan aktivitas sehari-hari. Beberapa jenis gangguan jiwa termasuk depresi, gangguan kecemasan, skizofrenia, gangguan makan, dan perilaku adiktif.
Kondisi ini bisa membuat pengidapnya sengsara dan menimbulkan masalah dalam kehidupan sehari-hari, seperti di sekolah, tempat kerja, atau dalam hubungan. Namun, pada kebanyakan kasus, gabungan antara obat-obatan dan terapi bicara (psikoterapi) dapat membantu mengurangi tingkat keparahan gejala yang muncul."
Penyebab Gangguan Kesehatan Jiwa,"Gangguan kesehatan jiwa dapat terjadi karena banyak faktor, terutama faktor genetik dan lingkungan. Faktor-faktor tersebut termasuk:
Penurunan sifat. Gangguan jiwa lebih rentan terjadi pada individu dengan riwayat keluarga yang memiliki kondisi serupa. Melansir dari Mayo Clinic, gen tertentu nyatanya dapat meningkatkan risiko gangguan jiwa dan gejalanya bisa muncul dari situasi tertentu. 
Paparan lingkungan sebelum lahir. Paparan lingkungan, peradangan, racun, alkohol, atau obat-obatan saat berada dalam rahim juga memiliki kaitan dengan penyakit mental.
Kimia otak. Neurotransmitter adalah bahan kimia otak yang membawa sinyal ke bagian lain dari otak dan tubuh. Ketika jaringan saraf terganggu, fungsi reseptor saraf dan sistem saraf dapat berubah yang menyebabkan depresi maupun gangguan emosional lainnya."
Faktor Risiko Gangguan Jiwa,"Meski bisa terjadi pada siapa saja, ada beberapa faktor yang bisa meningkatkan risiko seseorang mengalami gangguan kesehatan jiwa, antara lain:
Adanya riwayat keluarga yang mengidap gangguan jiwa, seperti orang tua atau saudara kandung.
Situasi kehidupan yang penuh tekanan, seperti masalah keuangan, kematian orang tersayang, atau perceraian.
Kondisi medis (kronis) yang sedang berlangsung, seperti diabetes, kanker, penyakit autoimun, dan lain-lain.
Kerusakan otak akibat cedera serius (cedera otak traumatis), seperti pukulan keras pada kepala.
Pengalaman traumatis, seperti pertempuran militer, pelecehan seksual, atau penelantaran masa kecil.
Penggunaan alkohol atau obat-obatan.
Tidak memiliki teman atau hubungan yang sehat.
Pernah mengidap gangguan kesehatan jiwa sebelumnya.
Efek dari gangguan kesehatan mental bisa bersifat sementara atau justru bertahan lebih lama. Seseorang juga dapat memiliki lebih dari satu gangguan kesehatan jiwa pada waktu yang bersamaan. "
Jenis Gangguan Jiwa,"Masalah kesehatan jiwa menjadi salah satu gangguan kesehatan yang masih sering mendapat pandangan buruk dari banyak orang. Mereka beranggapan bahwa masalah ini hanya muncul karena seseorang mengalami halusinasi atau perilaku yang buruk.
Bahkan, tak sedikit pula orang yang mengira bahwa seseorang dengan kelainan jiwa harus dikucilkan. Padahal, masalah ini ada banyak jenis dan setiap jenisnya memiliki gejala yang tidak sama. Berikut beberapa jenis kelainan jiwa yang paling sering muncul:
1. Gangguan kepribadian
Seseorang yang mengidap gangguan kepribadian cenderung menunjukkan perasaan, pola pemikiran, dan tingkah laku yang berbeda dari orang lain pada umumnya. Masalah ini juga terbagi menjadi beberapa jenis, yaitu: 
Eksentrik, misalnya skizoid, gangguan paranoid, antisosial, dan skizotipal. 
Emosional atau dramatis, yaitu gangguan kepribadian histrionik, narsistik, dan ambang. 
Takut dan cemas, termasuk penghindaran atau avoidant, obsesif kompulsif, dan ketergantungan. 
2. Gangguan suasana hati
Perubahan suasana hati memang wajar terjadi, terutama jika ada hal yang menjadi pemicunya, seperti kelelahan, stres, atau mengalami tekanan batin. Meski begitu, orang yang mengalami kondisi ini sering menunjukkan perubahan suasana hati yang ekstrem dalam waktu yang terbilang singkat. 
Contohnya, suasana hati yang normal lalu menjadi sedih dalam waktu cepat, atau merasa bersemangat dan selanjutnya seperti merasa putus asa. Masalah gangguan kesehatan jiwa yang bisa membuat suasana hati berubah drastis termasuk depresi, gangguan siklotimik, dan gangguan bipolar. 
3. Gangguan psikotik
Masalah psikotik adalah kelainan jiwa yang parah yang membuat adanya pemikiran dan persepsi abnormal, contohnya penyakit skizofrenia. Seseorang dengan kondisi ini akan menunjukkan gejala halusinasi, percaya dengan berbagai hal yang sebenarnya tidak terjadi, bahkan melihat, merasa, dan mendengar semua hal yang tidak nyata. 
Menariknya, gangguan kesehatan mental ini juga terbagi menjadi beberapa jenis. Kamu bisa mendapat informasi lebih banyak lagi dari artikel Ini 9 Gangguan Psikotik yang Sering Didengar.
4. Gangguan kecemasan
Gangguan kecemasan bisa berupa gangguan kecemasan sosial, umum, gangguan panik, dan fobia. Masalah ini masuk dalam kelompok masalah kesehatan jiwa yang membuat pengidapnya merasa gelisah, cemas, dan kerap kesulitan untuk mengontrol perasaan itu. 
Saat mengalami masalah kecemasan, seseorang dapat menunjukkan gejala seperti sering berkeringat, dada berdebar, detak jantung lebih cepat, susah berkonsentrasi, sering pusing, mengalami insomnia, dan sering merasa khawatir serta cemas, sehingga kerap kesulitan beraktivitas. 
5. Gangguan stres pascatrauma (PTSD)
PTSD sering terjadi setelah seseorang mengalami peristiwa traumatis, misalnya pelecehan seksual, bencana alam, atau kematian orang terdekat. Seseorang dengan kondisi ini sering kali kesulitan melupakan peristiwa yang tidak menyenangkan itu. 
6. Gangguan obsesif kompulsif (OCD)
Masalah kesehatan jiwa yang satu ini muncul dengan obsesi maupun pikiran yang tidak bisa terkendali akan suatu hal, sehingga membuat pengidapnya melakukan kegiatan berulang kali. 
Pengidap masalah mental ini biasanya terobsesi dengan angka khusus, contohnya angka 3. Kondisi ini akan membuat mereka merasa harus melakukan kegiatan tertentu, misalnya mencuci tangan sampai 3 kali, atau bercermin sebanyak 3 kali. Apabila hal itu tidak mereka lakukan, maka pengidap akan merasa khawatir berlebihan. 
7. Gangguan pengendalian impuls dan kecanduan
Selanjutnya, masalah pengendalian impuls dan kecanduan, yang membuat seseorang tidak bisa menahan keinginan untuk melakukan berbagai tindakan yang bisa berbahaya untuk diri sendiri dan orang lain. Contohnya mencuri atau kleptomania, berjudi, dan piromania atau menyulut api. 
Sementara itu, masalah adiksi atau kecanduan sering kali terjadi karena seseorang yang menyalahgunakan alkohol atau obat terlarang, dalam hal ini narkoba. Selain itu, seseorang juga bisa mengalami kecanduan terhadap aktivitas tertentu, misalnya belanja atau berhubungan seksual. 
8. Gangguan makan
Terakhir adalah gangguan makan, masalah mental serius yang membuat seseorang mengalami masalah pada pola makan dan asupan makanan. Kondisi ini kerap membuat pengidapnya mengalami permasalahan pada gizi, bisa jadi obesitas atau malnutrisi. Contohnya seperti bulimia, anoreksia nervosa, dan makan berlebihan. "
Gejala Gangguan Jiwa,"Tanda dan gejala gangguan kesehatan jiwa dapat bervariasi bergantung pada jenisnya, kondisi, dan faktor lainnya. Gejala biasanya memengaruhi emosi, pikiran, dan perilaku. Namun, umumnya masalah kesehatan mental ini dapat menyebabkan gejala berikut ini:
Merasa sedih sepanjang waktu.
Bingung atau tidak mampu berkonsentrasi.
Ketakutan, kekhawatiran yang berlebihan, atau perasaan bersalah yang ekstrem.
Perubahan suasana hati yang ekstrem.
Menarik diri untuk berhubungan dengan teman atau melakukan aktivitas.
Kelelahan yang signifikan, seperti kekurangan energi atau masalah tidur. Kamu bisa membaca artikel Benarkah Gangguan Tidur adalah Gejala Gangguan Jiwa? untuk mengetahui kaitan antara masalah tidur dan kondisi psikologis.
Mengalami delusi, paranoia atau halusinasi.
Tidak mampu mengatasi masalah sehari-hari atau stres. 
Kesulitan memahami situasi dan berhubungan dengan orang-orang.
Masalah dengan alkohol atau penggunaan narkoba.
Perubahan besar dalam kebiasaan makan.
Perubahan gairah seks.
Kemarahan, permusuhan, atau kekerasan yang berlebihan.
Punya pikiran bunuh diri."
Diagnosis Gangguan Kesehatan Jiwa,"Untuk mendiagnosis gangguan jiwa, dokter perlu melakukan serangkaian tes berikut ini:
Pemeriksaan fisik. Melalui pemeriksaan fisik, dokter dapat mengesampingkan masalah fisik yang dapat menyebabkan gejala.
Tes laboratorium. Pemeriksaan ini bertujuan untuk mengidentifikasi fungsi tiroid atau skrining penggunaan alkohol dan obat-obatan.
Evaluasi psikologis. Dokter juga perlu berbicara kepada pengidap tentang gejala, pikiran, perasaan, dan pola perilaku yang muncul.  Salah satu tes yang resmi dan dapat digunakan untuk mendiagnosis gangguan jiwa adalah dengan MMPI-2 (Minnesota Multiphasic Personality Inventory). Tes MMPI-2 adalah sebuah alat tes inventori yang berisi banyak pertanyaan dengan option ya dan tidak, tujuannya adalah untuk mengetahui kepribadian seseorang, terutama gangguan psikologis yang ada dalam diri, seperti gangguan antisosial, gangguan seksual, gangguan depresi, kebohongan, dan sebagainya.
Pengobatan Gangguan Jiwa
Perawatan gangguan kesehatan jiwa tergantung pada jenisnya, tingkat keparahan, dan perawatan yang paling tepat. Dalam banyak kasus, dokter biasanya akan memberikan kombinasi perawatan. Berikut opsi perawatan yang bisa menjadi pertimbangan:
1. Obat
Meski tidak menyembuhkan penyakit mental, obat-obatan psikiatri tetap penting untuk mengurangi gejala yang signifikan. Obat ini juga dapat membantu perawatan lain lebih efektif. Jenis obat yang dokter berikan juga tergantung pada situasi dan bagaimana respons tubuh. Beberapa obat psikiatri yang paling sering dokter resepkan adalah:
Antidepresan. Obat ini bertujuan untuk mengobati depresi, kecemasan, dan beberapa kondisi lainnya. Antidepresan dapat membantu memperbaiki gejala, seperti kesedihan, keputusasaan, kekurangan energi, kesulitan berkonsentrasi, dan kurangnya minat dalam aktivitas. 
Antikecemasan. Obat ini bertujuan untuk mengobati gangguan kecemasan, seperti gangguan kecemasan umum atau gangguan panik. Antikecemasan juga sering dokter resepkan untuk mengurangi agitasi dan insomnia. 
Penstabil suasana hati. Jenis obat yang satu ini sering bertujuan untuk mengobati gangguan bipolar yang melibatkan episode mania dan depresi secara bergantian. Terkadang, dokter menggunakan obat ini bersamaan dengan antidepresan untuk mengobati depresi.
Antipsikotik. Obat antipsikotik biasanya untuk mengobati gangguan psikotik, seperti skizofrenia. Antipsikotik juga bertujuan untuk mengobati gangguan bipolar atau pemakaian bersama antidepresan untuk mengobati depresi.
2. Psikoterapi
Selama sesi terapi bicara atau psikoterapi, pengidap gangguan kesehatan jiwa akan belajar tentang kondisi dan suasana hati, perasaan, pikiran, serta perilakunya. Dengan wawasan dan pengetahuan yang didapatkan dari psikiater, pengidap selanjutnya dapat mempelajari keterampilan untuk mengatasi gejala dan mengelola stres.
3. Perawatan stimulasi otak
Dokter terkadang menggunakan stimulasi otak untuk mengatasi depresi dan gangguan kesehatan mental lainnya. Namun, stimulasi otak akan menjadi opsi penanganan apabila obat dan psikoterapi tidak memberikan hasil yang efektif. 
Contoh perawatan stimulasi otak termasuk terapi electroconvulsive, stimulasi magnetik transkranial, stimulasi otak dalam, dan stimulasi saraf vagus.
4. Program perawatan rumah sakit dan residensial
Program perawatan ini umumnya menjadi pilihan untuk gangguan kesehatan jiwa yang parah. Dokter biasanya menyarankan opsi ini ketika pengidap sudah tidak mampu merawat diri sendiri dengan benar, atau membahayakan dirinya sendiri maupun orang lain. 
Pilihannya mencakup perawatan rawat inap 24 jam, rawat inap sebagian atau sehari, atau perawatan residensial, yang menawarkan tempat tinggal sementara. Pilihan lainnya mungkin perawatan rawat jalan intensif.
5. Perawatan penyalahgunaan zat
Masalah penggunaan zat biasanya terjadi bersamaan dengan gangguan jiwa. Jika tidak segera mendapatkan penanganan, penyalahgunaan zat bisa mengganggu pengobatan dan memperburuk gangguan jiwa."
Komplikasi Gangguan Jiwa,"Gangguan jiwa yang tidak segera mendapatkan penanganan dapat menyebabkan masalah kesehatan emosional, perilaku, dan fisik yang parah. Beberapa komplikasi dari gangguan kesehatan jiwa yang kerap terjadi, antara lain:
Penurunan kualitas hidup.
Konflik keluarga.
Sulit memiliki hubungan dengan orang lain.
Mengisolasi diri. 
Penyalahgunaan tembakau, alkohol, dan obat-obatan lainnya.
Tidak mampu bekerja atau bersekolah.
Pelanggaran hukum.
Masalah keuangan.
Kemiskinan dan tunawisma.
Menyakiti diri sendiri dan menyakiti orang lain, termasuk bunuh diri atau pembunuhan.
Sistem kekebalan tubuh melemah, sehingga tubuh sulit melawan infeksi.
Penyakit jantung dan kondisi medis lainnya."
Pencegahan Gangguan Jiwa,"Tidak ada cara pasti untuk mencegah gangguan jiwa. Bagi seseorang yang berisiko mengalami kondisi ini, penting bagi mereka untuk mampu mengelola sekaligus mengendalikan stres. Adapun sejumlah tips yang bisa kamu coba, yaitu:
Perhatikan tanda-tanda peringatan. Tanyakan dengan dokter atau terapis terkait hal apa saja yang bisa memicu timbulnya gejala. Buat rencana sehingga kamu mengetahui tindakan antisipasi jika gejala kembali. Hubungi dokter atau terapis apabila kamu merasa adanya perubahan gejala atau perasaan. Pertimbangkan untuk melibatkan anggota keluarga atau teman untuk melihat tanda-tanda peringatan.
Dapatkan perawatan medis rutin. Jangan mengabaikan pemeriksaan atau melewatkan kunjungan ke dokter atau terapis, terutama saat kamu merasa gejala semakin memburuk. Kamu mungkin memiliki masalah kesehatan baru yang perlu segera mendapat perawatan, atau mungkin mengalami efek samping obat.
Dapatkan bantuan saat membutuhkannya. Kondisi gangguan jiwa bisa lebih sulit diobati jika kamu menunggu sampai gejalanya memburuk. Perawatan lebih lanjut dalam jangka panjang dapat membantu mencegah kekambuhan gejala.
Terapkan gaya hidup sehat. Tidur yang cukup, makan sehat dan aktivitas fisik yang teratur amat penting. Cobalah untuk mempertahankan jadwal yang teratur. Segera hubungi dokter jika mengalami kesulitan tidur atau memiliki pertanyaan tentang diet dan aktivitas fisik."
Definisi Kepribadian Ganda,"Kepribadian ganda atau gangguan identitas disosiatif adalah suatu kondisi kesehatan mental,  ketika seseorang memiliki dua atau lebih kepribadian yang berbeda antara satu dengan lainnya.
Pengidap gangguan ini mengalami kepribadian yang berubah-ubah tanpa ia sadari. 
Ciri gangguan ini berupa masalah memori, kesadaran, atau kepribadian. Semua kondisi tersebut muncul akibat stres atau kejadian traumatis yang pengidapnya alami pada masa kecilnya.
Bentuk trauma ini dapat berupa kekerasan fisik atau emosional yang terjadi secara berulang-ulang."
Penyebab Kepribadian Ganda,"Hingga saat ini penyebab pasti dari kepribadian ganda belum jelas. 
Namun, ada beberapa kondisi yang diduga menjadi penyebabnya, yaitu:
1. Trauma berat
Pernah mengalami trauma fisik, seksual, atau emosional yang parah pada masa kanak-kanak atau masa remaja bisa memicu kondisi ini. 
Mereka yang mengalami peristiwa traumatis mungkin mengembangkan identitas yang berbeda sebagai mekanisme koping untuk melindungi diri dari ingatan dan rasa sakit tersebut. 
Gejala traumatis ini tak sedikit yang menyepelekannya. Oleh karena itu, kenali Mitos dan Fakta Kepribadian Ganda supaya bisa lebih memahami kondisi ini. 
2. Ketidakstabilan lingkungan
Lingkungan yang tidak stabil, disfungsional, atau berbahaya juga dapat berperan dalam perkembangan kondisi ini.
Contohnya, seperti berada dalam keluarga yang terlibat dalam pelecehan, kekerasan, atau konflik kronis.
3. Genetik
Beberapa penelitian menunjukkan bahwa faktor genetik mungkin memainkan peran dalam kerentanan seseorang terhadap gangguan kepribadian ini.
Namun, genetika bukan sebagai penyebab utama tetapi lebih sebagai faktor yang berkontribusi.
4. Tidak mampu menangani stres
Mereka yang tidak memiliki keterampilan atau dukungan yang cukup untuk mengatasi stres atau trauma mungkin lebih rentan terhadap perkembangan kepribadian ganda.
Faktor Risiko Kepribadian Ganda
Terdapat beberapa pengalaman traumatis yang bisa memicu kepribadian ganda, antara lain:
Kecelakaan.
Bencana alam.
Pelecehan seksual.
Tindak kekerasan.
Sebagai upaya untuk mengatasi peristiwa traumatis, secara tidak sadar, otak pengidap kepribadian ganda berusaha untuk memisahkan memori buruk tersebut dengan kehidupan normal sehari-hari. Dalam istilah medis kondisi tersebut disebut dengan disosiasi. 
Mekanisme disosiasi ini yang menimbulkan gejala kepribadian ganda.
Kondisi ini juga bisa terjadi ketika ada pengabaian atau pelecehan emosional yang terus menerus, bahkan meskipun tidak ada pelecehan fisik atau seksual. "
Gejala Kepribadian Ganda,"Pengidap kepribadian ganda setidaknya memiliki dua macam kepribadian. Saat kepribadian yang satu sedang terjadi, pengidap tidak ingat bahwa ia memiliki kepribadian yang lain, begitu pula sebaliknya. 
Kepribadian yang berbeda tersebut dapat disertai dengan identitas yang berbeda pula. Misalnya, jenis kelamin yang berbeda atau nama yang berbeda. 
Perubahan kepribadian ini umumnya akibat kejadian yang mengingatkan pengidapnya pada peristiwa traumatis yang pernah ia alami.
Berikut beberapa gejala utama kepribadian ganda:
Depersonalisasi, ini adalah perasaan terlepas dari tubuh dan pikirannya sendiri atau yang sering disebut sebagai pengalaman ‘keluar tubuh’.
Derealisasi, perasaan bahwa dunia ini tidak nyata atau lingkungan sekitar tampak berkabut.
Amnesia, kegagalan untuk mengingat informasi pribadi yang signifikan. Ada juga mikro-amnesia, yaitu ketika pengidap tidak mengingat percakapan yang pernah terjadi.
Kebingungan identitas atau perubahan identitas. Pengidap merasa bingung tentang siapa dirinya seperti apa hobinya, cita-cita, agamanya, dan lain-lain. Selain itu, pengidap juga bisa mengalami distorsi dalam waktu, tempat, dan situasi.
Akibat gangguan kepribadian dan gangguan ingatan ini, pengidap kepribadian ganda sering kali mengalami gangguan relasi dengan orang di sekitarnya.
Selain itu, pengidap juga dapat mengalami beberapa gejala lainnya, seperti:
Kecemasan, serangan panik, atau fobia.
Depresi.
Suasana hati yang berubah-ubah (misalnya saat ini sedang sangat senang, tetapi dalam 30 menit kemudian dapat meledak marah karena hal sepele).
Gangguan tidur.
Memiliki keinginan bunuh diri.
Halusinasi (misalnya mendengar suara tertentu padahal tidak ada suara apapun).
Penyalahgunaan alkohol dan narkoba."
Diagnosis Kepribadian Ganda,"Dokter spesialis kesehatan jiwa atau psikiater akan mendiagnosis kepribadian ganda dengan melakukan wawancara medis lengkap, dan pemeriksaan fisik menyeluruh terlebih dahulu. 
Selanjutnya, psikiater akan memastikan apakah gejala yang muncul akibat penyakit otak atau efek samping dari obat-obatan tertentu. 
Untuk mengetahui hal ini, dokter perlu melakukan pemeriksaan CT scan atau MRI, serta pemeriksaan darah. 
Jika hasilnya tidak menunjukan penyakit apa pun, seorang psikiater akan melakukan wawancara dan melakukan observasi untuk memastikan adanya kondisi ini.
Menurut Diagnostic and Statistical Manual of Mental Disorders, edisi kelima (DSM-5), berikut kriteria seseorang bisa didiagnosis mengalami gangguan kepribadian ganda:
Terdapat dua atau lebih identitas atau kepribadian yang berbeda-beda.
Gejala amnesia harus ada, yaitu kesenjangan dalam mengingat peristiwa sehari-hari, informasi pribadi yang penting, dan atau peristiwa traumatis.
Gejala-gejala tersebut menyebabkan penderitaan yang signifikan pada pengidap, yang menyebabkan pengidap mengalami kesulitan berfungsi dalam satu atau lebih bidang utama kehidupan karena gangguan tersebut.
Gangguan tersebut bukan termasuk dalam praktik budaya atau agama yang normal.
Gangguan bukan karena efek fisiologis langsung dari suatu zat (misalnya perilaku kacau karena alkohol) atau kondisi umum (seperti kejang parsial kompleks)."
Pengobatan Kepribadian Ganda,"Tujuan pengobatan kondisi ini adalah untuk menghubungkan kepribadian yang berbeda-beda menjadi satu jenis kepribadian saja.
Maka dari, pengidap bisa kembali menjalankan fungsinya dalam kehidupan sehari-hari dengan baik. 
Untuk mencapai tujuan tersebut, pengobatan berfokus untuk menolong pengidap kepribadian ganda untuk menyadari stres psikis. 
Selanjutnya, berlatih menerima dan kemudian berupaya mengatasinya dengan bantuan psikiater.
Beberapa metode pengobatan yang bisa dokter lakukan, antara lain:
1. Terapi kognitif perilaku (cognitive behavior therapy)
Perawatan ini dengan cara diskusi antara psikiater dan pengidap kepribadian ganda, yang bertujuan untuk mengubah pola pikir dan perilaku.
2. Terapi keluarga (family therapy)
Dalam terapi ini, keluarga dilibatkan untuk memahami tanda-tanda pengidap akan berubah kepribadian, untuk membantu mengontrol dan menenangkan pengidap.
3. Hipnoterapi
Biasanya hipnoterapi dokter kombinasikan dengan psikoterapi. Hipnosis klinis bisa membantu pengidap mengakses ingatan yang ditekan, mengontrol perilaku bermasalah yang menyertai gangguan kepribadian, serta membantu mengintegrasikan kepribadian menjadi satu.
4. Terapi seni
Jenis perawatan ini dapat berupa melukis, menyanyi, bermusik, dan sebagainya, yang bertujuan untuk membantu pengidap dalam mengeksplorasi pikiran dan perasaannya.
5. Obat-obatan antidepresan
Konsumsi obat-obatan bisa membantu meringankan gejala yang pengidapnya alami, tetapi bukan sebagai terapi utama untuk mengatasi kepribadian ganda."
Komplikasi Gangguan Kepribadian Ganda,"Orang dengan gangguan ini berisiko tinggi mengalami komplikasi dan gangguan terkait berikut:
Menyakiti diri sendiri.
Berpikir dan mencoba bunuh diri.
Disfungsi seksual.
Mengalami gangguan depresi dan kecemasan.
Mengalami gangguan tidur, termasuk mimpi buruk, insomnia dan berjalan dalam tidur.
Gangguan makan.
Kesulitan besar dalam hubungan pribadi dan di tempat kerja."
Pencegahan Kepribadian Ganda,"Pencegahan kepribadian ganda yang paling utama yakni dengan menghindari faktor pencetusnya.
Upaya lain yang bisa kamu lakukan, yaitu:
Mendapatkan edukasi kesehatan mental agar bisa memahami gejala-gejala gangguan mental.
 Mengatasi trauma sejak dini dengan meminta dukungan dan menjalani terapi atau konseling.
Menciptakan lingkungan yang aman, mendukung, dan stabil dalam keluarga.
Melatih keterampilan pengelolaan stres. Caranya bisa dengan berlatih meditasi, yoga dan olahraga
Menambah jaringan dukungan sosial yang kuat agar bisa menghadapi stres dan trauma dengan lebih baik. Keluarga, teman, atau kelompok dukungan bisa menjadi sumber dukungan yang penting.
Hindari penyalahgunaan alkohol atau obat-obatan terlarang, karena penyalahgunaan zat dapat memperburuk gangguan kepribadian. "
Definisi Psikosis,"Psikosis adalah penyakit mental yang menyebabkan pengidapnya mengalami gangguan dalam membedakan antara imajinasi dengan realita. Gangguan psikosis ditandai dengan munculnya gejala halusinasi dan waham (delusi). Jika tidak ditangani dengan tepat, kondisi ini bisa semakin parah dan mebuat pengidapnya semakin bermasalah dengan kondisi mentalnya. 
Penyakit ini terjadi karena ada gangguan pada otak. Gangguan yang terjadi memengaruhi cara kerja organ ini dalam memproses informasi. Alhasil, pengidapnya mengalami perubahan dalam cara berpikir dan berprilaku. Gangguan mental bisa mengganggu kehidupan dna menurunkan kualitas hidup pengidapnya, sehingga harus segera mendapatkan penanganan yang tepat. "
